Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",C0603,3,10uF,
"C2, C3, C6, C7",C0402,4,0.1uF,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",D3_SMD,14,D,
R1,R0603,1,37.4k,
R2,R0603,1,63.4k,
"R3, R4, R6",R0603,3,10k,
R5,R0603,1,39,
RESET1,ResetSW_1side,1,SW_PUSH,
"SW1, SW10, SW11, SW12, SW13, SW14, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW-TH_L6.2-W6.2-P5.00,14,SW_PUSH,
SW15,SW-TH_CEN971112R02,1,RotaryEncoder,
U1,ArduinoProMicro,1,ProMicro,
U2,SOT-23-5,1,TPS73601DBV,
"U3, U4",VSSOP-8_2.3x2mm_P0.5mm,2,TXS0102DCU,
U5,PMW3360,1,PMW3360DM-T2QU,
